select_box,parent_product_id,product_id,search_term,cluster_id,inf_config,kw-prediction_iteration_selected,kw-target_rank,kw-estimated_additional_sales,kw-estimated_additional_loss,kw-total_soft_score,kw-total_hard_score,sr_rc-prediction_iteration_selected,sr_rc-target_rank,sr_rc-estimated_additional_sales,sr_rc-estimated_additional_loss,sr_rc-total_soft_score,sr_rc-total_hard_score,kw_sr_rc-prediction_iteration_selected,kw_sr_rc-target_rank,kw_sr_rc-estimated_additional_sales,kw_sr_rc-estimated_additional_loss,kw_sr_rc-total_soft_score,kw_sr_rc-total_hard_score,pr-prediction_iteration_selected,pr-target_rank,pr-estimated_additional_sales,pr-estimated_additional_loss,pr-total_soft_score,pr-total_hard_score,total_soft_score_product,color_code,biz_configuration_id,session_id
TRUE,B0BVGKTF15,B0B15NZVJR,lens cleaner spray for eyeglasses,2,kw,4,1,402,0,23.83,0,24,1,402,414.77,0,-0.98,4,1,402,54.08,0.44,-0.82,1,5,0,0,0,-1.98,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
TRUE,B0BVGKTF15,B0B15NZVJR,best eyeglass cleaner,2,kw,4,1,361,0,19.74,0,28,1,361,486.96,0,-0.97,4,1,361,54.08,0.4,-0.88,1,6,0,0,0,-1.96,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,eyeglass cleaner￼,2,kw,7,1,265.53,0,14.05,-1,58,1,265.53,1029.53,0,-1.94,7,1,265.53,108.16,0.2,-1.75,1,8,0,0,0,-2.89,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,lens cleaners for eyeglasses wipes,2,kw,8,50.97,2.12,0,0.19,-1.98,36,59.89,0.72,631.42,0,-2.94,54,21.83,16.62,957,0,-2.63,1,66,0,0,0,-2.89,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,eyeglass cleaner cloth,2,kw,11,105.79,0.63,0,0,-2,38,119.66,0.17,667.55,0,-2.94,12,103.31,0.72,198.31,0,-2.75,1,126,0,0,0,-2.89,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
TRUE,B0BVGKTF15,B0B15NZVJR,lens cleaner spray,3,sr_rc,4,1.07,"6,282",0,349.94,0,24,1,"6,930",414.77,0.64,-0.96,4,1,"6,930",54.08,6.56,-0.88,1,5,0,0,0,-1.98,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
TRUE,B0BVGKTF15,B0B15NZVJR,lens cleaner,3,sr_rc,6,1,"14,745",0,771.38,0,42,1,"14,745",739.84,0.59,-0.93,6,1,"14,745",90.13,7.86,-0.88,1,8,0,0,0,-1.97,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,lens cleaners,3,sr_rc,13,1,1062.63,0,47.42,-1,44,11.46,24.22,776,0,-2.8,12,1,1062.63,198.31,0.16,-1.88,1,19,0,0,0,-2.96,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,lens spray,3,sr_rc,5,1,369.12,0,19.54,-1,32,1,369.12,559.18,0,-1.98,5,1,369.12,72.1,0.19,-1.82,1,6,0,0,0,-2.98,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,eye glass cleaner spray and cloths,4,sr_rc,3,1,924.64,0,59.88,-1,20,1,924.64,342.6,0.2,-1.93,3,1,924.64,36.05,1.45,-1.82,1,4,0,0,0,-2.97,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,eye glass cleaners cloth,4,sr_rc,42,1,488.95,0,15.16,-1,17,33.56,0.7,288.49,0,-2.94,29,1,488.95,505.02,0,-1.75,1,37,0,0,0,-2.89,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,eye glass cloth,4,sr_rc,25,119.52,0.55,0,0,-2.73,17,160.49,0.03,288.49,0,-2.96,25,114.81,0.63,432.82,0,-2.88,1,164,0,0,0,-2.93,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,eye glass spray,4,sr_rc,7,1,417.69,0,23.36,-1,32,1.02,406.26,559.18,0,-1.98,7,1,417.69,108.16,0.21,-1.75,1,6,0,0,0,-2.98,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,eye glasses cleaner cloth,4,sr_rc,33,1,2260.26,0,77.81,-1,27,32.4,4.52,468.91,0,-2.91,24,1,2260.26,414.77,0.14,-1.75,1,37,0,0,0,-2.89,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,glasses cleaner spray and cloth,4,sr_rc,4,1,351.56,0,23.77,-1,36,1,351.56,631.42,0,-1.94,4,1,351.56,54.08,0.51,-1.75,1,7,0,0,0,-2.89,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,glasses spray,4,sr_rc,8,1.09,712.5,0,33.29,0,100,1.17,648.58,1923,0,-0.94,8,1,798.31,126.19,0.34,-0.75,1,11,0,0,0,-1.89,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,alcohol free eyeglass cleaner,5,sr_rc,3,1.2,107.05,0,5.72,-1.26,39,1,138.68,685.62,0,-1.98,3,1.06,127.77,36.05,0.2,-1.87,1,6,0,0,0,-2.89,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,alcohol free lens cleaner,5,sr_rc,4,1,84.01,0,4.57,-1.42,27,1,84.01,468.78,0,-2.36,4,1,84.01,54.06,0,-2.17,1,5,0,0,0,-2.89,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
