select_box,parent_product_id,product_id,search_term,cluster_id,inf_config,kw-prediction_iteration_selected,kw-target_rank,kw-estimated_additional_sales,kw-estimated_additional_loss,kw-total_soft_score,kw-total_hard_score,sr_rc-prediction_iteration_selected,sr_rc-target_rank,sr_rc-estimated_additional_sales,sr_rc-estimated_additional_loss,sr_rc-total_soft_score,sr_rc-total_hard_score,kw_sr_rc-prediction_iteration_selected,kw_sr_rc-target_rank,kw_sr_rc-estimated_additional_sales,kw_sr_rc-estimated_additional_loss,kw_sr_rc-total_soft_score,kw_sr_rc-total_hard_score,pr-prediction_iteration_selected,pr-target_rank,pr-estimated_additional_sales,pr-estimated_additional_loss,pr-total_soft_score,pr-total_hard_score,total_soft_score_product,color_code,biz_configuration_id,session_id
FALSE,B0C671BXVD,B08LP5LFZN,globe light bulbs for bathroom,6,sr_rc,46,1,1166.61,0,26.19,-0.83,82,18.89,15.6,893.81,0,-1.93,36,1,1166.61,383.97,0.11,-0.97,1,34,0,0,0,-1.98,0,1.2,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0C671BXVD,B08LP5LFZN,bathroom vanity light bulbs,7,sr_rc,36,1,1237.4,0,35.56,-0.73,100,3,296.58,1182.48,0,-0.99,30,1.02,1206.6,318.07,0.13,-0.96,1,25,0,0,0,-1.99,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0C671BXVD,B08LP7CGRK,vanity mirror light bulbs,1,kw,42,1,589.29,0,16.25,-1.4,96,16.42,8.39,1065.49,0,-2.51,36,1,589.29,383.93,0,-1.54,1,27,0,0,0,-2.55,0,2.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0C671BXVD,B08LP7CGRK,light bulbs for vanity mirror,1,kw,96,1,373.2,0,0.8,-0.89,96,43.79,0.77,1065.49,0,-1.98,75,1,373.2,814.7,0,-0.97,1,54,0,0,0,-1.97,0,2.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0C671BXVD,B08LQ6WZ3M,gu24 led bulb,1,kw,36,145.89,2.68,0,0.09,-3.41,30,173.6,0.11,318.12,0,-3.49,38,142.95,3.02,406.02,0,-3.48,1,175,0,0,0,-3.49,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
TRUE,B0DLBWNF4J,B08LQX6GN3,recessed lighting 4 inch,1,kw,21,1,3931.63,0,49.41,-1.72,52,12.63,79.44,287.44,0,-2.66,19,1,3931.63,101.22,0.44,-1.78,1,21,0,0,0,-2.82,0,2.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
TRUE,B0DLBWNF4J,B08LQX6GN3,recessed lights 4 inch,1,kw,10,1,960.71,0,14.87,-1.6,73,1,960.71,407.36,0,-1.7,9,1,960.71,44.97,0.27,-1.66,1,11,0,0,0,-2.7,0,2.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0DLBWNF4J,B08LQX6GN3,canless recessed lighting 4 inch,1,kw,39,1,963.29,0,10.79,-0.89,35,27.52,3.59,191.35,0,-1.98,32,1,963.29,174.43,0.11,-0.95,1,34,0,0,0,-1.99,0,2.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
TRUE,B0DJVW3XQ8,B08LQXR6WK,recessed lighting 6 inch,1,kw,24,1,69173.75,0,542.92,-0.98,29,16.1,521.73,223.82,0,-2.47,21,1,69173.75,159.81,3.19,-1.94,1,20,0,0,0,-2.97,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0DJVW3XQ8,B08LQXR6WK,6 inch led recessed light,1,kw,31,1,53842.73,0,417.63,-1.71,38,14.03,641.77,295.91,0,-2.36,27,1,53842.73,207.81,2.04,-1.95,1,19,0,0,0,-2.97,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
